,id,title,release_date,vote_average,vote_count,year,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,imdb_score
0,862,Toy Story,1995-10-30,7.7,5415.0,1995.0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.621371211206377
1,8844,Jumanji,1995-12-15,6.9,2413.0,1995.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6.877655583345594
5,949,Heat,1995-12-15,7.7,1886.0,1995.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,7.505075739432404
9,710,GoldenEye,1995-11-16,6.6,1194.0,1995.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.650124388598414
15,524,Casino,1995-11-22,7.8,1343.0,1995.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.520515851484381
18,9273,Ace Ventura: When Nature Calls,1995-11-10,6.1,1128.0,1995.0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.305719111969111
31,63,Twelve Monkeys,1995-12-29,7.4,2470.0,1995.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,7.293909331409332
46,807,Se7en,1995-09-22,8.1,5915.0,1995.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,7.996322792562075
47,10530,Pocahontas,1995-06-14,6.7,1509.0,1995.0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6.717377159923203
49,629,The Usual Suspects,1995-07-19,8.1,3334.0,1995.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,7.926528616141292
69,755,From Dusk Till Dawn,1996-01-19,6.9,1644.0,1996.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,6.869641191364606
108,197,Braveheart,1995-05-24,7.7,3404.0,1995.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,7.580868523126464
109,103,Taxi Driver,1976-02-07,8.1,2632.0,1976.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.887647099069513
142,9737,Bad Boys,1995-04-07,6.5,1729.0,1995.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.560525219509069
147,568,Apollo 13,1995-06-30,7.3,1637.0,1995.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.175952603783676
150,414,Batman Forever,1995-06-16,5.2,1529.0,1995.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.586846088854468
155,8839,Casper,1995-05-26,6.0,1045.0,1995.0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6.249133148404994
162,1572,Die Hard: With a Vengeance,1995-05-19,6.9,2094.0,1995.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.874907754157947
205,9804,Waterworld,1995-07-28,5.9,1017.0,1995.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.186691308032772
227,8467,Dumb and Dumber,1994-12-16,6.5,1894.0,1994.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.556353681823607
249,628,Interview with the Vampire,1994-11-11,7.2,1558.0,1994.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,7.095486255726781
256,11,Star Wars,1977-05-25,8.1,6778.0,1977.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.00861647626899
289,101,Leon: The Professional,1994-09-14,8.2,4293.0,1994.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,8.050805490149324
292,680,Pulp Fiction,1994-09-10,8.3,8670.0,1994.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.216566053902477
314,278,The Shawshank Redemption,1994-09-23,8.5,8358.0,1994.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.402338080185789
339,3049,Ace Ventura: Pet Detective,1994-02-04,6.4,1684.0,1994.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.484666077969649
351,13,Forrest Gump,1994-07-06,8.2,8147.0,1994.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,8.117302037040096
359,8587,The Lion King,1994-06-23,8.0,5520.0,1994.0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7.897825700047461
362,854,The Mask,1994-07-29,6.6,2550.0,1994.0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,6.627839578454332
372,1637,Speed,1994-06-09,6.8,1814.0,1994.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.793479133226324
375,36955,True Lies,1994-07-14,6.8,1138.0,1994.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.7907879818594115
437,9739,Demolition Man,1993-10-08,6.4,1018.0,1993.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.5218120647468485
452,5503,The Fugitive,1993-08-06,7.2,1240.0,1993.0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,7.076385467980296
475,329,Jurassic Park,1993-06-11,7.6,4956.0,1993.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.523920585462924
495,788,Mrs. Doubtfire,1993-11-24,7.0,1638.0,1993.0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6.946169651209408
503,9800,Philadelphia,1993-12-22,7.6,1019.0,1993.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.326735164111728
522,424,Schindler's List,1993-11-29,8.3,4436.0,1993.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,8.144998118777496
536,78,Blade Runner,1982-06-25,7.9,3833.0,1982.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,7.7695847482773415
546,9479,The Nightmare Before Christmas,1993-10-09,7.6,2135.0,1993.0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7.442470859311467
579,771,Home Alone,1990-11-09,7.1,2487.0,1990.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.044730737959731
580,251,Ghost,1990-07-12,6.9,1381.0,1990.0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,6.865396445659604
581,812,Aladdin,1992-11-25,7.4,3495.0,1992.0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,7.321129089933847
582,280,Terminator 2: Judgment Day,1991-07-01,7.7,4274.0,1991.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,7.602578700101741
583,581,Dances with Wolves,1990-11-09,7.6,1084.0,1990.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7.3379486832611835
585,268,Batman,1989-06-23,7.0,2145.0,1989.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.956487982716716
586,274,The Silence of the Lambs,1991-02-01,8.1,4549.0,1991.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,7.968273066802478
587,408,Snow White and the Seven Dwarfs,1937-12-20,6.9,1973.0,1937.0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6.873680030038704
588,10020,Beauty and the Beast,1991-11-13,7.5,3029.0,1991.0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,7.396545966076995
589,10895,Pinocchio,1940-02-23,6.9,1412.0,1940.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.865957486551106
590,114,Pretty Woman,1990-03-23,7.0,1807.0,1990.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.950113010093505
600,275,Fargo,1996-04-05,7.7,2080.0,1996.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,7.519732834994463
608,10112,The Aristocats,1970-12-23,7.1,1287.0,1970.0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.007616516108403
638,954,Mission: Impossible,1996-05-22,6.7,2677.0,1996.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.71098857862314
662,2300,Space Jam,1996-11-15,6.5,1335.0,1996.0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,6.573520825223823
716,9802,The Rock,1996-06-06,6.9,1474.0,1996.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.867026704298741
732,935,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964-01-29,8.0,1472.0,1964.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,7.688088597507969
758,627,Trainspotting,1996-02-23,7.8,2737.0,1996.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6408744869588245
760,602,Independence Day,1996-06-25,6.7,3334.0,1996.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.709105559281616
763,10545,The Hunchback of Notre Dame,1996-06-21,6.8,1182.0,1996.0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6.791028962119926
834,238,The Godfather,1972-03-14,8.5,6024.0,1972.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.367398944556363
875,164,Breakfast at Tiffany's,1961-10-05,7.6,1082.0,1961.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,7.33761739208958
876,426,Vertigo,1958-05-09,8.0,1162.0,1958.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,7.629910177067217
877,567,Rear Window,1954-08-01,8.2,1531.0,1954.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,7.847912710135752
881,213,North by Northwest,1959-07-07,7.8,1062.0,1959.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,7.470237333089446
885,289,Casablanca,1942-11-26,7.9,1462.0,1942.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,7.611983034804135
892,630,The Wizard of Oz,1939-08-15,7.4,1689.0,1939.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7.256057886836782
896,15,Citizen Kane,1941-04-30,8.0,1244.0,1941.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7.647311189384011
897,62,2001: A Space Odyssey,1968-04-10,7.9,3075.0,1968.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,7.7419330669330675
926,1585,It's a Wonderful Life,1946-12-20,8.0,1103.0,1946.0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,7.616288655200071
993,11224,Cinderella,1950-03-04,6.8,1760.0,1950.0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,6.793323324905183
999,433,Mary Poppins,1964-08-27,7.4,1217.0,1964.0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7.216488476578751
1000,11360,Dumbo,1941-10-22,6.8,1206.0,1941.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.791155166638754
1003,12092,Alice in Wonderland,1951-07-03,7.0,1557.0,1951.0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6.944049934023196
1007,562,Die Hard,1988-07-15,7.5,4005.0,1988.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.418959093071191
1029,454,Romeo + Juliet,1996-10-31,6.7,1406.0,1996.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,6.7183162194573525
1048,583,Life of Brian,1979-08-17,7.7,1230.0,1979.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.431162262592899
1056,88,Dirty Dancing,1987-08-21,7.1,1371.0,1987.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,7.011764144460563
1057,500,Reservoir Dogs,1992-09-02,8.1,3821.0,1992.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.946079776506761
1058,792,Platoon,1986-12-18,7.5,1236.0,1986.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,7.2896951119157345
1065,601,E.T. the Extra-Terrestrial,1982-04-03,7.3,3359.0,1982.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,7.2313062229297005
